IPR;v1.0.3;12/03/2024;Temps d'execution :;2.57secs
"CODE_OPERATION";"CODE_STATION";"DATE";"CODE_PAR";"LIB_PAR";"RESULTAT"
"90758";"41469";"03/05/2023";7786;"Score DIT";2.02156304613299
"90758";"41469";"03/05/2023";7746;"Score DIO";5.31780630617964
"90758";"41469";"03/05/2023";7745;"Score DII";0.511478513658235
"90758";"41469";"03/05/2023";7787;"Score DTI";0.0270817257264999
"90758";"41469";"03/05/2023";7036;"IPR";18.5382654185798
"6510";"41764";"31/08/2007";NA;"ALT";19
"6510";"41764";"31/08/2007";7744;"Score NER";0.0360967407580578
"6510";"41764";"31/08/2007";7743;"Score NEL";0.0129616770922481
"6510";"41764";"31/08/2007";7644;"Score NTE";5.62562100615939
"6510";"41764";"31/08/2007";7786;"Score DIT";1.72320029659758
"6510";"41764";"31/08/2007";7746;"Score DIO";5.19950109990167
"6510";"41764";"31/08/2007";7745;"Score DII";0.967983946428783
"6510";"41764";"31/08/2007";7787;"Score DTI";0.264157997265362
"6510";"41764";"31/08/2007";7036;"IPR";13.8295227642031
"6527";"41764";"29/08/2008";NA;"ALT";19
"6527";"41764";"29/08/2008";7744;"Score NER";0.0350332113338155
"6527";"41764";"29/08/2008";7743;"Score NEL";0.00930539577267052
"6527";"41764";"29/08/2008";7644;"Score NTE";4.10298793808824
"6527";"41764";"29/08/2008";7786;"Score DIT";1.265805545404
"6527";"41764";"29/08/2008";7746;"Score DIO";3.53343583094038
"6527";"41764";"29/08/2008";7745;"Score DII";0.812105398413843
"6527";"41764";"29/08/2008";7787;"Score DTI";0.404840451259501
"6527";"41764";"29/08/2008";7036;"IPR";10.1635137712124
"6612";"41764";"15/10/2009";NA;"ALT";19
"6612";"41764";"15/10/2009";7744;"Score NER";0.953114796376551
"6612";"41764";"15/10/2009";7743;"Score NEL";0.0523864229784486
"6612";"41764";"15/10/2009";7644;"Score NTE";0.10887930257706
"6612";"41764";"15/10/2009";7786;"Score DIT";1.63355886849329
"6612";"41764";"15/10/2009";7746;"Score DIO";1.6668861847297
"6612";"41764";"15/10/2009";7745;"Score DII";0.717620558146072
"6612";"41764";"15/10/2009";7787;"Score DTI";0.0874797735918569
"6612";"41764";"15/10/2009";7036;"IPR";5.21992590689298
"6711";"41764";"31/08/2010";NA;"ALT";19
"6711";"41764";"31/08/2010";7744;"Score NER";0.0336718776963378
"6711";"41764";"31/08/2010";7743;"Score NEL";0.00711692148098316
"6711";"41764";"31/08/2010";7644;"Score NTE";4.17090075732868
"6711";"41764";"31/08/2010";7786;"Score DIT";2.98961555575645
"6711";"41764";"31/08/2010";7746;"Score DIO";6.66622482593473
"6711";"41764";"31/08/2010";7745;"Score DII";0.138397368363391
"6711";"41764";"31/08/2010";7787;"Score DTI";2.95626339654159
"6711";"41764";"31/08/2010";7036;"IPR";16.9621907031022
"6723";"41764";"05/09/2011";NA;"ALT";19
"6723";"41764";"05/09/2011";7744;"Score NER";0.247130513912131
"6723";"41764";"05/09/2011";7743;"Score NEL";0.0740830989094326
"6723";"41764";"05/09/2011";7644;"Score NTE";2.77351694961346
"6723";"41764";"05/09/2011";7786;"Score DIT";3.15088415253115
"6723";"41764";"05/09/2011";7746;"Score DIO";6.30780631553432
"6723";"41764";"05/09/2011";7745;"Score DII";0.558422724753491
"6723";"41764";"05/09/2011";7787;"Score DTI";2.38246466126032
"6723";"41764";"05/09/2011";7036;"IPR";15.4943084165143
"6797";"41764";"10/09/2012";NA;"ALT";19
"6797";"41764";"10/09/2012";7744;"Score NER";0.0339854623400081
"6797";"41764";"10/09/2012";7743;"Score NEL";0.00753405065360556
"6797";"41764";"10/09/2012";7644;"Score NTE";4.15502290912966
"6797";"41764";"10/09/2012";7786;"Score DIT";1.7755386057369
"6797";"41764";"10/09/2012";7746;"Score DIO";3.22637925444578
"6797";"41764";"10/09/2012";7745;"Score DII";1.01542429907406
"6797";"41764";"10/09/2012";7787;"Score DTI";0.099429872040315
"6797";"41764";"10/09/2012";7036;"IPR";10.3133144534203
"6831";"41764";"02/09/2013";NA;"ALT";19
"6831";"41764";"02/09/2013";7744;"Score NER";0.242815537440489
"6831";"41764";"02/09/2013";7743;"Score NEL";1.11153272125845
"6831";"41764";"02/09/2013";7644;"Score NTE";1.68617636224311
"6831";"41764";"02/09/2013";7786;"Score DIT";1.68742857575306
"6831";"41764";"02/09/2013";7746;"Score DIO";3.05893517180115
"6831";"41764";"02/09/2013";7745;"Score DII";0.925322203809334
"6831";"41764";"02/09/2013";7787;"Score DTI";0.185961046473312
"6831";"41764";"02/09/2013";7036;"IPR";8.8981716187789
"6865";"41764";"01/09/2014";NA;"ALT";19
"6865";"41764";"01/09/2014";7744;"Score NER";0.035848842696821
"6865";"41764";"01/09/2014";7743;"Score NEL";0.0115916501606995
"6865";"41764";"01/09/2014";7644;"Score NTE";4.06631076164389
"6865";"41764";"01/09/2014";7786;"Score DIT";1.66963142366763
"6865";"41764";"01/09/2014";7746;"Score DIO";4.90044781879673
"6865";"41764";"01/09/2014";7745;"Score DII";1.07155354276701
"6865";"41764";"01/09/2014";7787;"Score DTI";0.205721000862253
"6865";"41764";"01/09/2014";7036;"IPR";11.961105040595
"6871";"41764";"28/08/2015";NA;"ALT";19
"6871";"41764";"28/08/2015";7744;"Score NER";0.0355138097441862
"6871";"41764";"28/08/2015";7743;"Score NEL";0.0104660277919955
"6871";"41764";"28/08/2015";7644;"Score NTE";4.08043376146587
"6871";"41764";"28/08/2015";7786;"Score DIT";1.49997080191218
"6871";"41764";"28/08/2015";7746;"Score DIO";3.56931913482246
"6871";"41764";"28/08/2015";7745;"Score DII";1.50779477856976
"6871";"41764";"28/08/2015";7787;"Score DTI";0.333458297489673
"6871";"41764";"28/08/2015";7036;"IPR";11.0369566117961
"6899";"41764";"25/08/2016";NA;"ALT";19
"6899";"41764";"25/08/2016";7744;"Score NER";0.23222622318153
"6899";"41764";"25/08/2016";7743;"Score NEL";0.00529035919250684
"6899";"41764";"25/08/2016";7644;"Score NTE";2.89373811347856
"6899";"41764";"25/08/2016";7786;"Score DIT";1.02144735294773
"6899";"41764";"25/08/2016";7746;"Score DIO";2.23457671759084
"6899";"41764";"25/08/2016";7745;"Score DII";2.31375135514726
"6899";"41764";"25/08/2016";7787;"Score DTI";0.985568159072616
"6899";"41764";"25/08/2016";7036;"IPR";9.68659828061103
"6926";"41764";"24/08/2017";NA;"ALT";19
"6926";"41764";"24/08/2017";7744;"Score NER";0.0318783872188505
"6926";"41764";"24/08/2017";7743;"Score NEL";0.00528190728527885
